timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1718096549875,451,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-1,text,true,,5574,167,3,3,http://192.168.196.143:3000/title_basics?title=The%20Maze%20Runner&page=1,450,0,0
1718096550419,181,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-3,text,true,,6664,154,3,3,http://192.168.196.143:3000/title_basics?title=Traces&page=1,179,0,0
1718096550570,253,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-2,text,true,,6293,162,3,3,http://192.168.196.143:3000/title_basics?title=Side%20Effects&page=1,250,0,0
1718096550737,406,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-1,text,true,,4861,166,3,3,http://192.168.196.143:3000/title_basics?title=Grumpy%20Old%20Men&page=1,404,0,0
1718096551018,400,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-3,text,true,,1778,180,3,3,http://192.168.196.143:3000/title_basics?title=The%20Sponge%20Who%20Could%20Fly&page=1,400,0,0
1718096551217,396,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-2,text,true,,2164,197,3,3,http://192.168.196.143:3000/title_basics?title=The%20Santa%20Clause%203:%20The%20Escape%20Clause&page=1,396,0,0
1718096551556,122,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-1,text,true,,4158,156,3,3,http://192.168.196.143:3000/title_basics?title=Vacation&page=1,122,0,0
1718096552086,120,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-1,text,true,,5107,184,3,3,http://192.168.196.143:3000/title_basics?title=Law%20&%20Order:%20Criminal%20Intent&page=1,119,0,0
1718096551831,417,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-3,text,true,,5420,156,3,3,http://192.168.196.143:3000/title_basics?title=Cars%203&page=1,415,0,0
1718096552012,387,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-2,text,true,,2371,175,3,3,http://192.168.196.143:3000/title_basics?title=Letters%20from%20Iwo%20Jima&page=1,387,0,0
1718096552801,281,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-2,text,true,,6551,161,3,3,http://192.168.196.143:3000/title_basics?title=Civilizations&page=1,281,0,0
1718096552620,462,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-1,text,true,,6368,158,3,3,http://192.168.196.143:3000/title_basics?title=12th%20Man&page=1,462,0,0
1718096552669,413,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-3,text,true,,1202,196,3,3,http://192.168.196.143:3000/title_basics?title=Sentenced%20to%20Boil!%20Oden's%20Deadly%20Hour!&page=1,413,0,0
1718096553507,107,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-3,text,true,,5176,153,3,3,http://192.168.196.143:3000/title_basics?title=Chaos&page=1,104,0,0
1718096553479,137,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-1,text,true,,5863,152,3,3,http://192.168.196.143:3000/title_basics?title=Coco&page=1,137,0,0
1718096553490,377,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-2,text,true,,1163,174,4,4,http://192.168.196.143:3000/title_basics?title=Johnny%20in%20the%20Clouds&page=1,377,0,0
1718096554030,396,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-1,text,true,,1195,199,4,4,http://192.168.196.143:3000/title_basics?title=Department%20Q:%20The%20Keeper%20of%20Lost%20Causes&page=1,396,0,0
1718096554030,457,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-3,text,true,,7422,152,4,4,http://192.168.196.143:3000/title_basics?title=Skam&page=1,455,0,0
1718096554287,245,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-2,text,true,,6645,156,4,4,http://192.168.196.143:3000/title_basics?title=Sideways&page=1,243,0,0
1718096554031,602,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-4,text,true,,5441,167,4,4,http://192.168.196.143:3000/title_basics?title=The%20Hurt%20Locker&page=1,601,0,42
1718096554841,188,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-1,text,true,,5837,159,4,4,http://192.168.196.143:3000/title_basics?title=The%20Flash&page=1,187,0,0
1718096555060,169,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-4,text,true,,7022,153,4,4,http://192.168.196.143:3000/title_basics?title=X-Men&page=1,168,0,0
1718096554891,358,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-3,text,true,,6551,160,4,4,http://192.168.196.143:3000/title_basics?title=First%20Kill&page=1,356,0,0
1718096554916,426,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-2,text,true,,5696,165,4,4,http://192.168.196.143:3000/title_basics?title=Touch%20of%20Evil&page=1,425,0,0
1718096555426,390,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-1,text,true,,2610,175,4,4,http://192.168.196.143:3000/title_basics?title=Rab%20Ne%20Bana%20Di%20Jodi&page=1,390,0,0
1718096555646,251,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-4,text,true,,6114,156,4,4,http://192.168.196.143:3000/title_basics?title=Snowfall&page=1,250,0,0
1718096555739,260,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-2,text,true,,6434,177,4,4,http://192.168.196.143:3000/title_basics?title=Avengers:%20Age%20of%20Ultron&page=1,258,0,0
1718096555647,485,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-3,text,true,,8461,168,4,4,http://192.168.196.143:3000/title_basics?title=The%20Green%20Hornet&page=1,482,0,0
